Tue Jun  9 19:23:24 2020    QAOA-profile-p4

         118850644 function calls (118296919 primitive calls) in 96.043 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   529640    0.089    0.000    0.089    0.000 {method 'copy' of 'list' objects}
    76247    0.088    0.000    0.088    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\basepasses.py:54(__init__)
    40130    0.088    0.000   27.697    0.001 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:125(_do_pass)
   268833    0.088    0.000    0.091    0.000 {method 'union' of 'set' objects}
   533653    0.088    0.000    0.088    0.000 {built-in method __new__ of type object at 0x00007FFDB2A479A0}
   268833    0.087    0.000    0.251    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\assembler\assemble_circuits.py:60(<genexpr>)
    63271    0.085    0.000    0.334    0.000 C:\Users\joost\Documents\GitHub\bep\Implementation\ZhouClass\QAOA.py:59(bitstring_to_array)
     4013    0.084    0.000   57.410    0.014 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\execute.py:40(execute)
   561744    0.084    0.000    0.114    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:651(<genexpr>)
   529677    0.083    0.000    0.083    0.000 {built-in method builtins.issubclass}
     4013    0.080    0.000   48.596    0.012 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:95(run)
   561744    0.078    0.000    0.081    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:649(<genexpr>)
20065/12039    0.077    0.000    0.497    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\marshmallow\schema.py:501(_serialize)
    16052    0.075    0.000    0.838    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:1580(h)
    40130    0.072    0.000    0.164    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\transpiler\runningpassmanager.py:197(_update_valid_passes)
20065/12039    0.071    0.000    0.685    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\marshmallow\schema.py:527(dump)
    75308    0.070    0.000    0.178    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\networkx\classes\graph.py:1242(edges)
   216702    0.070    0.000    0.091    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\inspect.py:2799(<genexpr>)
   244755    0.069    0.000    0.069    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:216(<listcomp>)
    12039    0.069    0.000    0.244    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\quantumcircuit.py:605(add_register)
   164507    0.068    0.000    0.244    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\re.py:232(compile)
    63271    0.066    0.000    0.083    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\result\postprocess.py:38(_separate_bitstring)
     4013    0.065    0.000    0.183    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\compiler\assemble.py:166(_parse_common_args)
   409326    0.065    0.000    0.065    0.000 {built-in method builtins.next}
    60185    0.063    0.000    0.449    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\library\standard_gates\rz.py:59(__init__)
    67284    0.063    0.000    0.205    0.000 <__array_function__ internals>:2(copyto)
   248770    0.062    0.000    0.062    0.000 C:\Users\joost\Anaconda3\envs\bep_qiskit\lib\site-packages\qiskit\circuit\gate.py:134(_broadcast_single_argument)
